siteCode,stationName
AGNI,ALGUNDI
ANKA,ANKOLA
ATBM,ATHANI BELGAUM
BANG,BANGALORE
BDER,BIDER
BNSI,BANAVASI
BNWl,BANTWAL
BSNA,BASAVKLAYANA
BTKL,BHATKAL
BWTI,BHAGWATI
CNGR,CHANNAGIRI
GBDE,GUDIBANDE
GBGA,GULBARGA
GGRI,GOLGERI
GKAK,GOKAK
GNSI,GANDASI
GNTA,GURGUNTA
HDTE,HD KOTE
HLLI,HAGRIBOMANAHLLI
HLYR,HULIYAR
HNTE,HULIKUNTE
JLRU,JAGALURU
KDUR,KADUR
KHPR,KHANAPUR
KLAR,KOLAR
KNGl,KUNIGAL
KNRA,KANAKPUR
KPTE,KR PETE
KSGI,KUSTAGI
LXWR,LAXMESHWAR
MBIL,MUDDEBHIL
MDGR,MADHUGIRI
MDUR,MADDUR
MGRE,MUDIGERE
PVDA,PAVGADA
RBUR,RANEBENNUR
RCRU,RAICHURU
RONA,RONA
SDHI,SAUDATHI
SEDM,SEDAM
SNDR,SANDUR
SNUR,SINDANURU
SPET,SOMWARPET
SPRA,SHIKARPURA
TLLI,THIRITHAHALLI
UDPI,UDUPI
VJPR,VIJAYAPUR
YDGR,YADGIR
YLDR,YELANDUR
AJRA,AJARA
AKLT,AKALKOT
AKOE,AKOLE
AKUA,AKUA
ANER,AMALNER
APUR,ACHALPUR
ASTI,ASHTI
ATAL,AKLUJ TAL
BEED,BEED
BETL,BEED TALUKA
BHAN,BHANDARA
BHGN,BHADGAON
DAP1,DAPOLI
DAPR,DAHANU PALGHAR
DAU1,DAUND
DEND,DEGLOOR NANDED
DEOL,DEOLI
DGAB,DEOGAON
DHAN,DHAN
DHGN,DHOLEGAON
GDJM,GODRI JAMNER
GTNJ,GHTANJI
GWA1,GHANSAWALI
HKOL,HATKANGALE KOLHA
JALG,JALGAON
JINT,JINTUR
KAML,KAMLESHWAR
KCHI,KORCHI
KMGN,KHAMGAON
KNAG,KESHAV NAGAR
KNUR,KALAMNURI
KPUR,KHANAPUR KARANJI
KRSO,KARAMALA SOLAPUR
KSAT,KARAD SATARA
KVNI,KANSHIVANI
KWAN,KALWAN
LATU,LATUR
MAGN,MAHAGAON
